Food_items,Breakfast,Lunch,Dinner,VegNovVeg,Calories,Fats,Proteins,Iron,Calcium,Sodium,Potassium,Carbohydrates,Fibre,VitaminD,Sugars
Baklava,0,0,1,0,300,20,5,1,50,10,100,30,2,0,20
Kebab (Mixed Grill),0,0,1,0,400,25,20,2,30,20,150,15,3,0,2
Meze Platter,0,1,1,0,250,15,10,1,20,15,120,10,2,0,5
Hummus,0,1,1,1,150,10,5,1,15,5,70,10,4,0,1
Kofte,0,1,1,0,350,15,18,2,25,15,130,20,3,0,3
Pide,0,1,1,0,280,12,10,1,20,10,100,25,2,0,1
Manti,0,0,1,0,300,15,12,1.5,30,12,120,30,4,0,2
Menemen,1,0,1,1,200,15,8,1,20,10,80,15,2,0,5
Turkish Delight,0,0,1,0,200,0,2,0.5,10,5,80,50,1,0,40
Lahmacun,0,1,1,0,350,15,12,2,25,20,100,30,3,0,2
Pilaf (Pilav),0,1,1,0,250,5,8,1,20,5,80,45,2,0,1
Iskender Kebab,0,0,1,0,450,25,22,2,35,25,180,20,4,0,3
Börek,0,1,1,0,300,15,10,2,20,10,120,25,2,0,2
Turkish Tea,1,0,0,0,5,0,0.1,0,1,1,5,1,0,0,0
Kısır,0,1,1,1,200,10,5,1,15,10,80,25,4,0,2
Karnabahar Kızartması (Cauliflower Fry),0,1,1,0,150,8,5,1,15,10,70,20,3,0,2
Sogan Kavurma (Onion Saute),0,1,1,0,120,5,3,1,10,5,60,15,2,0,1
Fava,0,1,1,1,180,12,8,2,20,15,100,25,3,0,3
Cacik,0,1,1,1,100,6,4,0.8,10,5,60,10,2,0,1
Pilaf with Orzo (Sehriyeli Pilav),0,1,1,0,220,6,6,1,20,5,90,35,2,0,1
Balik Ekmek (Fish Sandwich),0,0,1,0,350,15,20,2,30,25,120,30,3,0,2
Kuzu Tandir (Lamb Tandoori),0,0,1,0,500,30,25,2,40,30,200,20,5,0,3
Babaganoush,0,1,1,1,180,12,5,1.5,20,10,80,15,4,0,2
Ispanakli Borek (Spinach Pie),0,1,1,0,250,15,8,2,25,10,100,20,3,0,2
Tavuklu Pide (Chicken Pide),0,0,1,0,350,20,15,1.5,30,20,150,25,4,0,3
Firin Sutlac (Baked Rice Pudding),0,0,1,0,300,8,5,0.5,20,15,120,50,2,0,20
Kuzu Guvec (Lamb Casserole),0,0,1,0,450,25,22,2,35,20,180,20,4,0,2
Cezerye,1,0,0,0,150,5,1,0.5,10,10,30,30,3,0,15
Ayran,1,0,0,1,30,0,2,0.1,15,5,20,5,0,0,1
Kisir,0,1,1,1,200,10,5,1,15,10,80,25,4,0,2
Bamya Pilaki,0,1,1,0,150,5,8,2,20,15,70,30,3,0,2
Kuzu Incik (Lamb Shank),0,0,1,0,400,25,20,2,30,20,150,15,3,0,2
Zeytinyagli Dolma,0,1,1,1,180,10,5,1,15,10,80,15,4,0,2
Icli Kofte,0,1,1,0,300,15,10,1.5,20,15,120,25,2,0,1
Firin Tavuk (Roast Chicken),0,0,1,0,350,20,25,1.5,30,25,150,20,3,0,2
Sutlu Nuriye,0,0,1,0,250,15,5,1,20,10,100,30,2,0,10
Mumbar,0,1,1,0,300,15,12,1.5,30,12,120,30,4,0,2
Karisik Kizartma,0,1,1,0,200,12,8,1,15,10,80,15,3,0,2
Ezogelin Corbasi,1,1,1,1,150,5,8,2,20,15,70,30,3,0,2
Kumpir,0,1,1,0,400,20,10,1.5,30,20,150,40,3,0,3
Kuzu Kapama,0,0,1,0,500,30,25,2,40,30,200,20,5,0,3
Kuzu Tandir (Lamb Tandoori),0,0,1,0,500,30,25,2,40,30,200,20,5,0,3
Irmik Helvasi,0,0,1,0,300,15,5,1,20,10,100,30,2,0,15
Tavuk Gogsu,0,0,1,0,350,20,15,1,30,20,150,25,4,0,20
Firin Kofte,0,1,1,0,300,15,18,2,25,15,130,20,3,0,3
Pacanga Boregi,0,1,1,0,250,12,8,1.5,20,10,120,25,2,0,2
Tas Kebab,0,0,1,0,450,25,22,2,35,25,180,20,4,0,3
Orange Juice,1,0,0,0,45,0.2,0.7,0.2,11,1,200,10,0.2,0,8.4
Turkish Tea,1,0,0,0,5,0,0.1,0,1,1,5,1,0,0,0
Sahlep,1,0,0,0,200,4,2,0.5,10,30,100,40,2,0,20
Pomegranate Juice,1,0,0,0,83,1.2,1.7,0.3,10,7,10,18,1.2,0,16
Boza,1,0,0,0,170,1,2,0.4,20,10,100,40,1,0,5
Rakı,0,0,1,0,80,0,0,0,0,1,10,0,0,0,0
Salep,1,0,0,0,200,4,2,0.5,10,30,100,40,2,0,20
Simit,0,0,0,0,250,5,8,1,20,5,150,45,2,0,5
Peynir,1,0,1,1,100,8,5,0.5,15,10,120,10,1,0,0
Zeytin,1,0,1,1,150,15,2,1,50,10,120,5,3,0,0
Sucuk,0,0,1,0,300,25,15,2,10,25,200,30,2,0,2
Pastırma,0,0,1,0,350,15,20,2,30,20,150,15,3,0,0
Menemen,1,0,1,1,200,15,8,1,20,10,80,15,2,0,5
Poğaça,0,1,0,0,200,10,5,1,15,5,100,20,2,0,2
Mercimek Çorbası,0,1,1,1,150,5,8,2,20,15,70,30,3,0,2
Tarator Çorbası,0,1,1,1,120,8,3,0.5,10,5,60,15,2,0,1
Yayla Çorbası,0,1,1,1,180,10,6,1,25,10,80,20,2,0,1
Ezogelin Çorbası,0,1,1,1,150,5,8,2,20,15,70,30,3,0,2
İşkembe Çorbası,0,1,1,0,200,15,10,2,15,10,100,20,3,0,2
Beyran Çorbası,0,1,1,0,250,10,12,2,20,15,120,25,2,0,1
Humus,0,1,1,1,150,10,5,1,15,5,70,10,4,0,1
Babaganuş,0,1,1,1,180,12,5,1.5,20,10,80,15,4,0,2
Cacık,0,1,1,1,100,6,4,0.8,10,5,60,10,2,0,1
Şakşuka,0,1,1,1,200,15,8,1,20,10,100,15,3,0,2
Haydari,0,1,1,1,120,8,6,1,15,10,80,15,2,0,1
Zeytinyağlı Yaprak Sarma,0,1,1,1,180,10,5,1,15,10,80,15,4,0,2
Hünkar Beğendi,0,1,1,0,300,20,10,1,30,15,120,25,2,0,1
Kuru Fasulye,0,1,1,0,250,5,8,1,20,5,80,45,2,0,1
Pilav,0,1,1,0,250,5,8,1,20,5,80,45,2,0,1
Karnabahar Yemeği,0,1,1,0,200,10,5,1,15,10,70,20,3,0,2
İmam Bayıldı,0,1,1,1,300,20,5,1,20,10,100,30,2,0,1
Türlü,0,1,1,0,250,8,6,1,20,10,80,20,3,0,2
Hamsi Tava,0,1,1,0,350,15,12,2,25,20,100,30,3,0,2
Kuzu Tandır,0,0,1,0,500,30,25,2,40,30,200,20,5,0,3
Ali Nazik Kebabı,0,0,1,0,350,20,15,1.5,30,20,150,25,4,0,3
Adana Kebap,0,0,1,0,400,25,20,2,30,25,180,15,3,0,2
Urfa Kebap,0,0,1,0,350,20,15,2,25,20,150,25,4,0,3
İskender,0,0,1,0,450,25,22,2,35,25,180,20,4,0,3
Beyti Kebap,0,0,1,0,380,20,18,2,30,20,150,20,3,0,2
Şiş Kebap,0,0,1,0,350,15,15,1.5,25,20,120,25,3,0,2
Çöp Şiş,0,0,1,0,300,18,10,2,20,15,130,20,3,0,3
Künefe,0,0,1,0,400,25,20,2,30,20,150,15,3,0,2
Şekerpare,0,0,1,0,250,15,10,1,20,15,120,10,2,0,5
Revani,0,0,1,0,280,12,10,1,20,10,100,25,2,0,1
Sütlaç,0,0,1,0,300,8,5,0.5,20,15,120,50,2,0,20
İrmik Helvası,0,0,1,0,300,15,5,1,20,10,100,30,2,0,15
Lokma,0,0,1,0,250,15,5,1,20,10,100,30,2,0,10
Çay,1,0,0,0,5,0,0.1,0,1,1,5,1,0,0,0
Türk Kahvesi,1,0,0,0,5,0,0.1,0,1,1,5,1,0,0,0
Şalgam Suyu,1,0,0,0,50,0.2,1,0.1,10,5,150,10,1,0,5
Gözleme,0,1,1,0,300,15,10,1,20,15,120,25,2,0,3
Kuymak,0,1,1,0,250,12,8,1,20,10,100,20,3,0,2
Katmer,0,1,1,0,350,18,12,1,25,20,120,30,3,0,2
Bazlama,0,1,1,0,200,10,5,1,15,5,100,20,2,0,2
Pogaca,0,1,0,0,200,10,5,1,15,5,100,20,2,0,2
Kaygana,1,0,1,1,180,10,6,1,25,10,80,20,2,0,5
Düğün Çorbası,0,1,1,0,250,10,12,2,20,15,120,25,2,0,1
Tavuklu Şehriye Çorbası,0,1,1,0,200,8,8,1,15,10,80,20,2,0,2
Kabak Çorbası,0,1,1,0,150,5,5,1,15,5,70,15,3,0,1
Fava,0,1,1,1,180,12,8,2,20,15,100,25,3,0,3
Patlıcan Salatası,0,1,0,0,150,8,4,1,10,5,60,15,2,0,1
Cızlak,0,1,1,1,200,15,8,1.5,20,10,80,15,3,0,2
Tarama,0,1,0,0,250,20,10,2,25,15,120,20,2,0,2
Midye Dolma,0,1,1,0,300,15,12,1.5,30,12,120,30,4,0,2
Acılı Ezme,0,1,0,0,120,6,3,1,15,5,60,10,2,0,1
Patates Salatası,0,1,0,0,180,10,5,1,20,10,80,15,3,0,2
Etli Yaprak Sarma,0,1,1,0,300,15,10,1.5,20,15,120,25,2,0,1
Tavuk Güveç,0,0,1,0,350,20,15,1.5,30,20,150,25,4,0,3
Yoğurtlu Kebap,0,0,1,0,400,25,20,2,30,25,180,15,3,0,2
Ciğer Kebap,0,0,1,0,300,18,10,2,20,15,130,20,3,0,3
Testi Kebabı,0,0,1,0,450,25,22,2,35,25,180,20,4,0,3
Beykoz Kebabı,0,0,1,0,400,20,18,2,30,20,150,20,3,0,2
Çılbır Kebabı,0,0,1,0,350,20,15,1.5,30,20,150,25,4,0,3
Levrek,0,0,1,0,350,18,12,2,25,20,120,30,3,0,2
Çupra,0,0,1,0,400,25,20,2,30,25,180,15,3,0,2
Barbun,0,0,1,0,350,20,15,1.5,25,20,150,25,4,0,3
Mezgit,0,0,1,0,300,15,12,2,25,20,100,30,3,0,2
Karides Güveç,0,0,1,0,400,20,18,2,30,20,150,20,3,0,2
Balık Tava,0,0,1,0,350,15,15,1.5,25,20,120,25,3,0,2
Burma Kadayıf,0,0,1,0,300,20,5,1,50,10,100,30,2,0,20
Trileçe,0,0,1,0,350,15,10,1,20,15,120,10,2,0,5
Kemalpaşa Tatlısı,0,0,1,0,250,10,5,1,20,10,100,25,2,0,1
İncir Tatlısı,0,0,1,0,280,12,10,1,20,10,100,30,2,0,1
Keskul,0,0,1,0,200,8,5,0.5,20,15,120,50,2,0,20
Limonata,1,0,0,0,60,0,0.1,0.1,5,5,5,10,0.1,0,15